Manufacturer,Model,Description,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Metric Combined,CO2 g/km,Total cost / 12000 miles,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km]
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 140 bhp - 11/2014 on,1368,Petrol,,,,6,139,,72.5,455,23,9,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 140 bhp - 11/2014 on,1368,Petrol,,,,5.8,134,,73,445,25,22,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 160 bhp - 11/2014 on,1368,Petrol,,,,6,139,,74,222,35,19,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 160 bhp - 11/2014 on,1368,Petrol,,,,5.8,134,,73.5,439,34,37,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 180 bhp,1368,Petrol,,,,6,139,,71.5,498,36,27,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 180 bhp,1368,Petrol,,,,5.8,134,,74,423,35,28,
ABARTH,"500, 2012 onwards",Abarth 695 190 bhp Biposto,1368,Petrol,,,,6.2,145,,72.5,559,37,28,
ABARTH,"500, 2012 onwards",Abarth 695 190 bhp Biposto (Dog Ring Gearbox),1368,Petrol,,,,6.2,145,,72.5,486,20,19,
ABARTH,"New Abarth 595, 2016 Onwards",595 & 595C 1.4 145 bhp,1368,Petrol,,,,6,139,,73.5,350,18,5,
ABARTH,"New Abarth 595, 2016 Onwards",595 & 595C 1.4 165 bhp,1368,Petrol,,,,6,139,,73.5,517,27,7,
ABARTH,"New Abarth 595, 2016 Onwards",595 & 595C 1.4 180 bhp,1368,Petrol,,,,6,139,,71.5,498,36,27,
ABARTH,"Abarth 124 Spider, September 2016 Onwards",1.4 MultiAir 170 bhp,1368,Petrol,,,,6.4,148,,69,486,38,33,
ABARTH,"Abarth 124 Spider, September 2016 Onwards",1.4 MultiAir 170 bhp,1368,Petrol,,,,6.6,153,,69,454,43,36,
ALFA ROMEO,Giulietta,1.4 TB MultiAir 120 bhp (MY 2015),1368,Petrol,,,,6.2,144,,73,279,38,20,
ALFA ROMEO,Giulietta,1.4 TB MultiAir 150 bhp (MY 2015),1368,Petrol,,,,5.5,127,,72.5,466,44,35,
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp TCT (MY 2015),1368,Petrol,,,,4.9,114,,70.5,318,50,39,
ALFA ROMEO,Giulietta,1750 TBI 240 bhp TCT (MY 2015),1742,Petrol,,,,6.8,157,,70,408,43,20,
ALFA ROMEO,Giulietta,1.6 JTDm-2 (MY 2015),1598,Diesel,,,,3.8,99,,72,251,,21,79
ALFA ROMEO,Giulietta,1.6 JTDm-2 120 (MY 2016),1598,Diesel,,,,3.8,99,,74,117,,62,89
ALFA ROMEO,Giulietta,2.0 JTDm-2 150 bhp (MY 2015),1956,Diesel,,,,4.2,110,,74,239,,46,113
